"No.","Time","Source","Destination","Protocol","Length","Info"
"205","9.203588","20.50.73.10","192.168.1.114","TLSv1.2","528","Application Data"
"206","9.203624","192.168.1.114","20.50.73.10","TCP","54","50258  >  443 [ACK] Seq=4605 Ack=7294 Win=261120 Len=0"
"207","9.222037","192.168.1.114","20.50.73.10","TLSv1.2","541","Application Data"
"208","9.222266","192.168.1.114","20.50.73.10","TLSv1.2","2659","Application Data"
"209","9.270173","20.50.73.10","192.168.1.114","TCP","60","443  >  50258 [ACK] Seq=7294 Ack=6532 Win=525568 Len=0"
"210","9.273928","20.50.73.10","192.168.1.114","TLSv1.2","527","Application Data"
"211","9.274024","192.168.1.114","20.50.73.10","TCP","54","50258  >  443 [ACK] Seq=7697 Ack=7767 Win=262144 Len=0"
"212","9.311605","52.98.163.18","192.168.1.114","TCP","60","443  >  50106 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"213","9.704394","192.168.1.67","239.255.255.250","UDP","77","41910  >  15600 Len=35"
"214","9.711187","192.168.1.114","192.168.1.1","DNS","78","Standard query 0x0cf1 A edge.microsoft.com"
"215","9.717985","192.168.1.1","192.168.1.114","DNS","181","Standard query response 0x0cf1 A edge.microsoft.com CNAME edge-microsoft-com.dual-a-0036.a-msedge.net CNAME dual-a-0036.a-msedge.net A 204.79.197.239 A 13.107.21.239"
"216","9.718888","192.168.1.114","204.79.197.239","TCP","66","50260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"217","9.733796","204.79.197.239","192.168.1.114","TCP","66","443  >  50260 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"218","9.733851","192.168.1.114","204.79.197.239","TCP","54","50260  >  443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"219","9.734271","192.168.1.114","204.79.197.239","TLSv1.2","571","Client Hello"
"220","9.748619","204.79.197.239","192.168.1.114","TCP","60","443  >  50260 [ACK] Seq=1 Ack=518 Win=4194304 Len=0"
"221","9.750133","204.79.197.239","192.168.1.114","TCP","1506","443  >  50260 [ACK] Seq=1 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"222","9.750183","204.79.197.239","192.168.1.114","TCP","1506","443  >  50260 [ACK] Seq=1453 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"223","9.750216","192.168.1.114","204.79.197.239","TCP","54","50260  >  443 [ACK] Seq=518 Ack=2905 Win=263424 Len=0"
"224","9.750236","204.79.197.239","192.168.1.114","TCP","1506","443  >  50260 [ACK] Seq=2905 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"225","9.750323","204.79.197.239","192.168.1.114","TCP","1506","443  >  50260 [ACK] Seq=4357 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"226","9.750323","204.79.197.239","192.168.1.114","TLSv1.2","191","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"227","9.750369","192.168.1.114","204.79.197.239","TCP","54","50260  >  443 [ACK] Seq=518 Ack=5946 Win=263424 Len=0"
"228","9.775833","192.168.1.114","204.79.197.239","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"229","9.776393","192.168.1.114","204.79.197.239","TLSv1.2","159","Application Data"
"230","9.776873","192.168.1.114","204.79.197.239","TLSv1.2","923","Application Data"
"231","9.776967","192.168.1.114","204.79.197.239","TLSv1.2","4926","Application Data"
"232","9.790794","204.79.197.239","192.168.1.114","TCP","60","443  >  50260 [ACK] Seq=5946 Ack=676 Win=4194048 Len=0"
"233","9.790794","204.79.197.239","192.168.1.114","TCP","60","443  >  50260 [ACK] Seq=5946 Ack=781 Win=4194048 Len=0"
"234","9.790794","204.79.197.239","192.168.1.114","TCP","60","443  >  50260 [ACK] Seq=5946 Ack=3090 Win=4194816 Len=0"
"235","9.791154","204.79.197.239","192.168.1.114","TCP","60","443  >  50260 [ACK] Seq=5946 Ack=4530 Win=4193280 Len=0"
"236","9.791154","204.79.197.239","192.168.1.114","TCP","60","443  >  50260 [ACK] Seq=5946 Ack=6522 Win=4194816 Len=0"
"237","9.792136","204.79.197.239","192.168.1.114","TLSv1.2","396","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"238","9.792136","204.79.197.239","192.168.1.114","TLSv1.2","123","Application Data"
"239","9.792181","192.168.1.114","204.79.197.239","TCP","54","50260  >  443 [ACK] Seq=6522 Ack=6357 Win=262912 Len=0"
"240","9.792414","192.168.1.114","204.79.197.239","TLSv1.2","92","Application Data"
"241","9.806172","204.79.197.239","192.168.1.114","TCP","60","443  >  50260 [ACK] Seq=6357 Ack=6560 Win=4194560 Len=0"
"242","9.806172","204.79.197.239","192.168.1.114","TLSv1.2","92","Application Data"
